,sensors_Torque_cmd,sensors_TV_delta_torque,sensors_TC_Tmax_FL,sensors_TC_Tmax_FR,sensors_TC_Tmax_RL,sensors_TC_Tmax_RR,MISC_Pos_Trq_Limit_FL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_RR
5.32,571.721863,0.0,94.986061,97.276356,187.205994,189.496289,70.193138,71.320854,134.7603,135.888016
5.33,589.868408,0.0,94.713576,96.466771,190.904108,192.657281,73.3899,75.159462,144.642166,146.411728
5.34,618.83606,0.0,93.48327,96.075051,194.137845,196.729618,73.211708,74.566887,147.56456,148.919724
5.35,652.5755,0.0,92.576731,95.416853,197.834937,200.675081,72.17984,74.180634,149.778061,151.778137
5.36,685.575684,0.0,93.09305,93.57776,202.879709,203.364397,71.489937,73.682869,152.495667,154.686035
5.37,714.408691,0.0,86.223495,89.821126,211.30056,214.898192,71.958176,72.33284,156.803421,157.17804
5.38,727.447327,0.0,81.545262,85.523025,221.582131,225.559871,66.592628,69.371155,162.696671,165.467926
5.39,737.562134,0.0,80.952941,81.582629,231.399309,232.029005,63.033535,66.108299,171.271149,174.345749
5.4,737.562134,0.0,80.141424,79.961449,238.128628,237.94863,62.576328,63.063072,178.867828,179.354584
5.41,834.540771,0.0,77.710677,78.664133,244.03839,244.991862,61.94186,61.802753,183.979767,183.840683
5.42,880.957397,0.0,76.811899,75.988908,251.321431,250.498431,60.038055,60.774792,188.008789,188.742859
5.43,930.388794,0.0,74.784459,73.824681,258.116241,257.156463,59.361473,58.725395,193.985703,193.351089
